CN=GlobalSign Root CA, OU=Root CA, O=GlobalSign nv-sa, C=BE| Tue Sep 01 05:00:00 PDT 1998| Tue Jan 28 04:00:00 PST 2014
CN=VeriSign Class 1 Public Primary Certification Authority - G3, OU="(c) 1999 VeriSign, Inc. - For authorized use only", OU=VeriSign Trust Network, O="VeriSign, Inc.", C=US| Thu Sep 30 17:00:00 PDT 1999| Wed Jul 16 16:59:59 PDT 2036
CN=GeoTrust Global CA, O=GeoTrust Inc., C=US| Mon May 20 21:00:00 PDT 2002| Fri May 20 21:00:00 PDT 2022
EMAILADDRESS=info@valicert.com, CN=http://www.valicert.com/, OU=ValiCert Class 1 Policy Validation Authority, O="ValiCert, Inc.", L=ValiCert Validation Network| Fri Jun 25 15:23:48 PDT 1999| Tue Jun 25 15:23:48 PDT 2019
CN=Deutsche Telekom Root CA 2, OU=T-TeleSec Trust Center, O=Deutsche Telekom AG, C=DE| Fri Jul 09 05:11:00 PDT 1999| Tue Jul 09 16:59:00 PDT 2019
CN=QuoVadis Root CA 2, O=QuoVadis Limited, C=BM| Fri Nov 24 10:27:00 PST 2006| Mon Nov 24 10:23:33 PST 2031
OU=Equifax Secure eBusiness CA-2, O=Equifax Secure, C=US| Wed Jun 23 05:14:45 PDT 1999| Sun Jun 23 05:14:45 PDT 2019
OU=Class 3 Public Primary Certification Authority, O="VeriSign, Inc.", C=US| Sun Jan 28 16:00:00 PST 1996| Tue Aug 01 16:59:59 PDT 2028
CN=Class 2 Primary CA, O=Certplus, C=FR| Wed Jul 07 10:05:00 PDT 1999| Sat Jul 06 16:59:59 PDT 2019
CN=VeriSign Class 3 Public Primary Certification Authority - G5, OU="(c) 2006 VeriSign, Inc. - For authorized use only", OU=VeriSign Trust Network, O="VeriSign, Inc.", C=US| Tue Nov 07 16:00:00 PST 2006| Wed Jul 16 16:59:59 PDT 2036
CN=TC TrustCenter Universal CA I, OU=TC TrustCenter Universal CA, O=TC TrustCenter GmbH, C=DE| Wed Mar 22 07:54:28 PST 2006| Wed Dec 31 14:59:59 PST 2025
CN=Baltimore CyberTrust Root, OU=CyberTrust, O=Baltimore, C=IE| Fri May 12 11:46:00 PDT 2000| Mon May 12 16:59:00 PDT 2025
CN=SwissSign Platinum CA - G2, O=SwissSign AG, C=CH| Wed Oct 25 01:36:00 PDT 2006| Sat Oct 25 01:36:00 PDT 2036
CN=TC TrustCenter Class 4 CA II, OU=TC TrustCenter Class 4 CA, O=TC TrustCenter GmbH, C=DE| Thu Mar 23 06:10:23 PST 2006| Wed Dec 31 14:59:59 PST 2025
CN=UTN-USERFirst-Object, OU=http://www.usertrust.com, O=The USERTRUST Network, L=Salt Lake City, ST=UT, C=US| Fri Jul 09 11:31:20 PDT 1999| Tue Jul 09 11:40:36 PDT 2019
CN=VeriSign Universal Root Certification Authority, OU="(c) 2008 VeriSign, Inc. - For authorized use only", OU=VeriSign Trust Network, O="VeriSign, Inc.", C=US| Tue Apr 01 17:00:00 PDT 2008| Tue Dec 01 15:59:59 PST 2037
OU=Starfield Class 2 Certification Authority, O="Starfield Technologies, Inc.", C=US| Tue Jun 29 10:39:16 PDT 2004| Thu Jun 29 10:39:16 PDT 2034
CN=SwissSign Silver CA - G2, O=SwissSign AG, C=CH| Wed Oct 25 01:32:46 PDT 2006| Sat Oct 25 01:32:46 PDT 2036
CN=GTE CyberTrust Root 5, OU="GTE CyberTrust Solutions, Inc.", O=GTE Corporation, C=US| Fri Aug 14 07:50:00 PDT 1998| Wed Aug 14 16:59:00 PDT 2013
CN=AddTrust Class 1 CA Root, OU=AddTrust TTP Network, O=AddTrust AB, C=SE| Tue May 30 03:38:31 PDT 2000| Sat May 30 03:38:31 PDT 2020
CN=SwissSign Gold CA - G2, O=SwissSign AG, C=CH| Wed Oct 25 01:30:35 PDT 2006| Sat Oct 25 01:30:35 PDT 2036
CN=QuoVadis Root CA 3, O=QuoVadis Limited, C=BM| Fri Nov 24 11:11:23 PST 2006| Mon Nov 24 11:06:44 PST 2031
CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US| Thu Nov 09 16:00:00 PST 2006| Sun Nov 09 16:00:00 PST 2031
OU=VeriSign Trust Network, OU="(c) 1998 VeriSign, Inc. - For authorized use only", OU=Class 2 Public Primary Certification Authority - G2, O="VeriSign, Inc.", C=US| Sun May 17 17:00:00 PDT 1998| Tue Aug 01 16:59:59 PDT 2028
CN=GTE CyberTrust Global Root, OU="GTE CyberTrust Solutions, Inc.", O=GTE Corporation, C=US| Wed Aug 12 17:29:00 PDT 1998| Mon Aug 13 16:59:00 PDT 2018
CN=VeriSign Class 3 Public Primary Certification Authority - G3, OU="(c) 1999 VeriSign, Inc. - For authorized use only", OU=VeriSign Trust Network, O="VeriSign, Inc.", C=US| Thu Sep 30 17:00:00 PDT 1999| Wed Jul 16 16:59:59 PDT 2036
CN=Sonera Class1 CA, O=Sonera, C=FI| Fri Apr 06 03:49:13 PDT 2001| Tue Apr 06 03:49:13 PDT 2021
CN=GeoTrust Primary Certification Authority - G3, OU=(c) 2008 GeoTrust Inc. - For authorized use only, O=GeoTrust Inc., C=US| Tue Apr 01 17:00:00 PDT 2008| Tue Dec 01 15:59:59 PST 2037
OU=VeriSign Trust Network, OU="(c) 1998 VeriSign, Inc. - For authorized use only", OU=Class 1 Public Primary Certification Authority - G2, O="VeriSign, Inc.", C=US| Sun May 17 17:00:00 PDT 1998| Tue Aug 01 16:59:59 PDT 2028
CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, ST=Western Cape, C=ZA| Tue Dec 31 16:00:00 PST 1996| Thu Dec 31 15:59:59 PST 2020
CN=QuoVadis Root Certification Authority, OU=Root Certification Authority, O=QuoVadis Limited, C=BM| Mon Mar 19 10:33:33 PST 2001| Wed Mar 17 11:33:33 PDT 2021
OU=Class 1 Public Primary Certification Authority, O="VeriSign, Inc.", C=US| Sun Jan 28 16:00:00 PST 1996| Tue Aug 01 16:59:59 PDT 2028
CN=UTN-USERFirst-Hardware, OU=http://www.usertrust.com, O=The USERTRUST Network, L=Salt Lake City, ST=UT, C=US| Fri Jul 09 11:10:42 PDT 1999| Tue Jul 09 11:19:22 PDT 2019
CN=GlobalSign, O=GlobalSign, OU=GlobalSign Root CA - R2| Fri Dec 15 00:00:00 PST 2006| Wed Dec 15 00:00:00 PST 2021
CN=Equifax Secure eBusiness CA-1, O=Equifax Secure Inc., C=US| Sun Jun 20 21:00:00 PDT 1999| Sat Jun 20 21:00:00 PDT 2020
CN=GeoTrust Universal CA, O=GeoTrust Inc., C=US| Wed Mar 03 21:00:00 PST 2004| Sat Mar 03 21:00:00 PST 2029
OU=Equifax Secure Certificate Authority, O=Equifax, C=US| Sat Aug 22 09:41:51 PDT 1998| Wed Aug 22 09:41:51 PDT 2018
EMAILADDRESS=info@valicert.com, CN=http://www.valicert.com/, OU=ValiCert Class 2 Policy Validation Authority, O="ValiCert, Inc.", L=ValiCert Validation Network| Fri Jun 25 17:19:54 PDT 1999| Tue Jun 25 17:19:54 PDT 2019
CN=Entrust.net Secure Server Certification Authority, OU=(c) 1999 Entrust.net Limited, OU=www.entrust.net/CPS incorp. by ref. (limits liab.), O=Entrust.net, C=US| Tue May 25 09:09:40 PDT 1999| Sat May 25 09:39:40 PDT 2019
CN=AddTrust Qualified CA Root, OU=AddTrust TTP Network, O=AddTrust AB, C=SE| Tue May 30 03:44:50 PDT 2000| Sat May 30 03:44:50 PDT 2020
CN=AddTrust External CA Root, OU=AddTrust External TTP Network, O=AddTrust AB, C=SE| Tue May 30 03:48:38 PDT 2000| Sat May 30 03:48:38 PDT 2020
EMAILADDRESS=personal-freemail@thawte.com, CN=Thawte Personal Freemail CA, OU=Certification Services Division, O=Thawte Consulting, L=Cape Town, ST=Western Cape, C=ZA| Sun Dec 31 16:00:00 PST 1995| Thu Dec 31 15:59:59 PST 2020
CN=Equifax Secure Global eBusiness CA-1, O=Equifax Secure Inc., C=US| Sun Jun 20 21:00:00 PDT 1999| Sat Jun 20 21:00:00 PDT 2020
CN=T-TeleSec GlobalRoot Class 3, OU=T-Systems Trust Center, O=T-Systems Enterprise Services GmbH, C=DE| Wed Oct 01 03:29:56 PDT 2008| Sat Oct 01 16:59:59 PDT 2033
